,Make,Total fatal injuries,Total serious injuries,Total minor injuries,Total uninjured,total_accidents,Fatal percentage,Serious percentage,Minor percentage,Uninjured percentage,overall_injury_percentage,Model,Date,Weather conditions
14,Boeing,8713.0,2151.0,2308.0,207243.0,2731,3.9529977542363266,0.9758863961164167,1.047115668171404,94.02400018147586,5.975999818524148,,,
44,Mcdonnell douglas,1279.0,556.0,1505.0,45012.0,604,2.6451853077432164,1.1499007279947056,3.112590999338187,93.0923229649239,6.907677035076108,A185F,1982,VMC
41,Lockheed,326.0,75.0,201.0,8019.0,122,3.7814638673007774,0.8699686811274794,2.331516065421645,93.0170513861501,6.982948613849901,PA-24-250,1982,VMC
6,Airbus,1325.0,183.0,106.0,21261.0,290,5.7923497267759565,0.8,0.46338797814207655,92.94426229508197,7.055737704918033,180,1981,IMC
7,Airbus industrie,1174.0,138.0,399.0,20905.0,161,5.191015210470463,0.6101874778917581,1.7642377078174745,92.4345596038203,7.565440396179696,140,1982,VMC
24,Embraer,436.0,157.0,110.0,6400.0,238,6.138251443052231,2.2103336618330283,1.5486414191186821,90.10277347599606,9.897226524003942,AA-5B,1982,IMC
23,Douglas,963.0,105.0,247.0,8805.0,277,9.515810276679842,1.0375494071146245,2.4407114624505932,87.00592885375494,12.994071146245059,PA-24-180,1982,VMC
62,Swearingen,108.0,39.0,48.0,886.0,177,9.990749306197964,3.6077705827937097,4.440333024976873,81.96114708603145,18.038852913968547,ASW 20,1982,VMC
29,Fairchild,146.0,62.0,70.0,1120.0,161,10.44349070100143,4.434907010014307,5.007153075822604,80.11444921316166,19.88555078683834,7GCBC,1982,VMC
35,Helio,16.0,22.0,15.0,198.0,111,6.374501992031872,8.764940239043826,5.9760956175298805,78.88446215139442,21.115537848605577,PA-28R-200,1982,VMC
